x0,x1,y
281.9313780227201,145.01897930921464,1
357.7503027273258,119.48397142907145,1
381.5986152761235,146.83272292990716,1
377.7494386656077,134.86756676864218,1
329.86598788159483,143.8356454812866,0
237.19240651070263,152.52853580922647,0
235.50767947082215,142.95652129309548,0
344.91511110473346,116.20774105927676,1
281.49775029943464,164.5010711312647,0
227.67842359644914,137.4881568643796,0
233.92341186361364,150.99543418438122,0
376.76868285791465,133.40828153796457,1
296.33263336542973,124.11148245205074,1
261.39534619958704,161.30801008409782,0
284.2058641762584,129.28293609241035,1
266.58048236869905,159.7798351153797,0
315.3111603466761,117.49221758147225,1
258.5527434863438,161.66932468257153,0
293.8676450384017,164.6031206216197,0
326.52288941147685,113.70595545448393,1
307.49768319527857,155.95336641883497,0
386.78967925246883,140.89744795268706,1
281.1928182368274,146.67908690536066,1
323.85994070296016,137.27448785448942,0
276.9368451908663,166.29381706285122,0
250.47770672696004,158.0114912372547,0
281.3270587048446,132.34349125386876,1
288.22219674230314,127.54788639747252,1
373.8878445780838,125.18845611977274,1
381.67953978464715,137.8491669674247,1
260.6347691891991,160.91141365176765,0
327.23794893764943,145.0122322618777,0
231.6499825995739,135.57429079801818,0
365.36621744763374,122.47878433543124,1
387.7818024105948,144.58728558028733,1
252.95790925672804,161.39267397705947,0
231.5523488035611,130.32418542140738,0
274.50756775821094,165.35642161351365,0
331.14692968934423,133.84368435955503,0
327.2266680732919,113.91370417141687,1
333.06913176817284,114.93710628663469,1
227.1520714419196,133.63478660112918,0
379.5602809482298,138.60055185628156,1
227.47462774120953,128.2141455351569,0
379.16773033193533,134.0755888995081,1
323.92436631412056,141.74529637386135,0
270.2519812375368,163.96734968032965,0
333.6776809956132,131.00780541758905,0
278.0206211022611,135.6623501218036,1
299.77712979206456,119.13547323747791,1
302.61857414649637,120.46441619258223,1
318.7088712005657,112.88549745473756,1
373.94604535974634,129.94278193122216,1
364.9184673031036,122.8564566343601,1
282.5757561140774,137.63861591239072,1
366.57858536725723,119.18311400287823,1
249.54344939838185,160.55025980662703,0
313.15570843463877,157.29562314657656,0
384.61242981705243,137.41135517489337,1
233.14110375999658,149.35881819449767,0
349.19614450504037,118.08892743049148,1
299.13828257016996,161.70039519518576,0
289.8742934323443,127.39418563507597,1
372.7063771106806,134.30752784362056,1
281.97757353200325,142.08701125679568,1
227.91492440094098,132.68583208564905,0
330.50541555535733,116.18236773356975,1
335.7568351168622,114.2330262410856,1
239.36866799004957,150.75072904061017,0
323.29807878721715,112.99809589765509,1
291.6922788204259,162.84219040942077,0
375.1592858363408,130.96363579325782,1
228.2940828150583,136.25001222436742,0
231.59690206832016,144.73989297374678,0
330.35684622769975,133.86699699307485,0
248.94009920530155,155.22331202645407,0
277.027178329309,146.91167535340387,1
292.768407483252,123.42044603898945,1
241.74167189506812,155.67857257702514,0
284.0218282918844,142.5239416320995,1
283.3809427770916,145.2548576653625,1
245.03076120603217,159.73052146285147,0
238.69578981161504,150.46214074409932,0
369.7079072652325,125.02076497217834,1
279.61810166844066,138.92923017864774,1
306.11501769641643,157.85603120720285,0
282.04365561661757,144.2672902267217,1
